,0.01,0.02,0.04,0.08,0.16,0.32,MVO
128,2.6806392669677734,2.6452202796936035,2.648731231689453,2.2873494625091553,2.4823946952819824,2.256525754928589,2.140134811401367
181,3.5375664234161377,3.4550764560699463,3.445685386657715,3.1426584720611572,3.270608425140381,3.178209066390991,2.874117374420166
256,4.805700063705444,4.817697525024414,4.867343902587891,4.882343292236328,4.418207168579102,4.476468324661255,4.01811408996582
362,6.834291458129883,6.674095869064331,6.756193161010742,6.617717981338501,6.39388632774353,6.461620569229126,5.697660207748413
512,10.226780891418457,9.880289554595947,9.888645648956299,9.833807468414307,9.81981086730957,9.84665822982788,8.856763362884521
724,15.622528314590454,14.401257991790771,14.407570123672485,14.43570065498352,14.346883773803711,14.14426589012146,13.091161489486694
1024,33.97653603553772,21.294309854507446,21.344221115112305,24.640891790390015,24.00635838508606,25.580833196640015,19.414069652557373
1448,119.6696126461029,32.12154006958008,31.897265195846558,33.035465478897095,32.969714641571045,31.70262885093689,31.433106184005737
2048,129.73815512657166,50.76607394218445,51.46695017814636,51.6117479801178,58.36625909805298,51.212669134140015,49.95396447181702
