,0.01,0.02,0.04,0.08,0.16,0.32,MVO
128,2.6944384574890137,2.643285036087036,2.6227376461029053,2.3081161975860596,2.2787530422210693,2.2898313999176025,2.164538621902466
181,3.4663338661193848,3.5367095470428467,3.506035566329956,3.2156124114990234,3.2974634170532227,3.2859413623809814,2.853687286376953
256,4.914397239685059,4.953841686248779,4.9090735912323,4.95320463180542,4.867749929428101,4.625487804412842,4.166208267211914
362,6.9410316944122314,6.865253925323486,6.818920135498047,6.899277687072754,6.60753607749939,6.658931255340576,5.925360441207886
512,10.03312611579895,10.835749387741089,10.126219749450684,10.125692129135132,10.123848676681519,10.02261471748352,9.02864956855774
724,16.731165170669556,14.784088134765625,14.78170919418335,15.9167799949646,16.454227924346924,14.524551391601562,13.61476445198059
1024,38.314697265625,21.828983068466187,22.07372784614563,21.990164279937744,21.747377634048462,22.875058889389038,20.036916732788086
1448,106.4541072845459,32.43780970573425,32.45575833320618,32.10205912590027,31.982267379760742,32.25303030014038,29.982641220092773
2048,126.15140891075134,55.624606132507324,51.75197672843933,55.923816442489624,50.97120428085327,50.65816330909729,47.15385103225708
